Feature ID	Wild-type - WT3_S9 (GE) - Expression values	Wild-type - WT3_S9 (GE) - Unique gene reads	Wild-type - WT3_S9 (GE) - Total gene reads
SAOUHSC_01847	4427	4427	4427
SAOUHSC_00874	2775	2775	2775
SAOUHSC_00280	4949	4949	4949
SAOUHSC_00197	16495	16495	16495
SAOUHSC_00363	2103	2103	2103
SAOUHSC_02696	1296	1296	1296
SAOUHSC_00195	17252	17252	17252
SAOUHSC_01336	5951	5951	5951
SAOUHSC_00105	321	321	321
SAOUHSC_02599	1841	1841	1841
SAOUHSC_01798	1240	1240	1240
SAOUHSC_03016	1671	1671	1671
SAOUHSC_00079	1402	1400	1402
SAOUHSC_00949	1920	1920	1920
SAOUHSC_00049	8074	8074	8074
SAOUHSC_00325	176	176	176
SAOUHSC_00173	2509	2509	2509
SAOUHSC_02731	8526	8526	8526
SAOUHSC_00376	201	201	201
SAOUHSC_01403	141175	141175	141175
SAOUHSC_00104	248	248	248
SAOUHSC_02937	3838	3838	3838
SAOUHSC_02773	25296	25296	25296
SAOUHSC_00198	22975	22975	22975
SAOUHSC_02390	28369	28369	28369
SAOUHSC_00335	1433	1433	1433
SAOUHSC_02923	1288	1288	1288
SAOUHSC_01617	7024	7024	7024
SAOUHSC_02810	20411	20411	20411
SAOUHSC_01180	3095	3095	3095
gpmA	26254	26254	26254
SAOUHSC_01707	13429	13429	13429
SAOUHSC_02476	850	850	850
SAOUHSC_01301	2	2	2
SAOUHSC_01397	1039	1039	1039
SAOUHSC_01317	18776	18776	18776
ulaA	57304	57304	57304
SAOUHSC_00196	29023	29023	29023
SAOUHSC_00133	2610	2610	2610
SAOUHSC_00515	3260	3260	3260
SAOUHSC_01948	2281	2281	2281
SAOUHSC_00328	1036	1036	1036
SAOUHSC_01303	1318	1318	1318
SAOUHSC_03022	8268	8268	8268
SAOUHSC_00383	1269	1269	1269
SAOUHSC_01082	1396	1396	1396
SAOUHSC_00324	2486	2486	2486
SAOUHSC_02882	1753	1753	1753
SAOUHSC_00394	164	164	164
SAOUHSC_00329	689	689	689
SAOUHSC_00620	10388	10388	10388
SAOUHSC_00008	23895	23895	23895
SAOUHSC_01268	968	968	968
SAOUHSC_00041	1296	1296	1296
SAOUHSC_02837	393	393	393
SAOUHSC_00384	175	175	175
SAOUHSC_00080	1900	1897	1900
SAOUHSC_02001	15828	15828	15828
SAOUHSC_00961	101	101	101
SAOUHSC_01489	95	94	95
SAOUHSC_00136	73	73	73
SAOUHSC_01134	533	533	533
SAOUHSC_00220	6651	6651	6651
SAOUHSC_01650	3443	3443	3443
SAOUHSC_01849	8948	8948	8948
SAOUHSC_02151	2091	2091	2091
SAOUHSC_03048	168	168	168
SAOUHSC_02430	40097	40097	40097
SAOUHSC_00941	9898	9898	9898
SAOUHSC_01710	3958	3958	3958
SAOUHSC_00065	3218	3218	3218
SAOUHSC_02569	128	128	128
SAOUHSC_00948	22482	22482	22482
SAOUHSC_02905	459	459	459
SAOUHSC_03026	1711	1711	1711
SAOUHSC_01917	154	154	154
SAOUHSC_03028	5444	5444	5444
SAOUHSC_00178	3923	3923	3923
SAOUHSC_00256	1711	1711	1711
SAOUHSC_02912	22516	22516	22516
SAOUHSC_00132	282210	282210	282210
SAOUHSC_00422	1874	1874	1874
SAOUHSC_00962	953	953	953
SAOUHSC_02931	707	707	707
SAOUHSC_02986	1005	1005	1005
SAOUHSC_01671	2496	2496	2496
SAOUHSC_02761	1597	1597	1597
SAOUHSC_01181	11900	11900	11900
SAOUHSC_02248	1608	1608	1608
SAOUHSC_01213	7898	7898	7898
SAOUHSC_01220	395	395	395
SAOUHSC_00221	11039	11039	11039
SAOUHSC_00740	3443	3443	3443
SAOUHSC_01464	23450	23450	23450
SAOUHSC_01899	382	382	382
SAOUHSC_01691	511	511	511
SAOUHSC_00222	15401	15401	15401
SAOUHSC_01110	2078	2078	2078
SAOUHSC_01008	1207	1207	1207
SAOUHSC_02449	1577	1577	1577
SAOUHSC_00845	163697	163697	163697
SAOUHSC_01414	5655	5655	5655
SAOUHSC_01640	77	77	77
SAOUHSC_02660	8896	8896	8896
SAOUHSC_01846	60694	60694	60694
SAOUHSC_00479	10785	10785	10785
SAOUHSC_02435	1736	1736	1736
SAOUHSC_00322	6759	6759	6759
SAOUHSC_02743	3062	3062	3062
SAOUHSC_00988	2355	2355	2355
SAOUHSC_02733	11646	11646	11646
SAOUHSC_01768	6989	6989	6989
SAOUHSC_02555	5408	5408	5408
SAOUHSC_00825	15364	15364	15364
SAOUHSC_02767	3435	3435	3435
SAOUHSC_01385	679	679	679
SAOUHSC_02960	6249	6249	6249
SAOUHSC_00276	954	776	954
SAOUHSC_02464	11575	11575	11575
SAOUHSC_00393	133	133	133
SAOUHSC_02471	1334	1334	1334
SAOUHSC_00007	1760	1760	1760
SAOUHSC_02593	2539	2539	2539
SAOUHSC_00176	5408	5408	5408
SAOUHSC_00885	9791	9791	9791
SAOUHSC_00177	6515	6515	6515
SAOUHSC_02719	817	817	817
SAOUHSC_02645	1157	1157	1157
SAOUHSC_02842	256	256	256
nrdI	8828	8365	8828
SAOUHSC_00151	8481	8481	8481
SAOUHSC_02568	6379	6379	6379
SAOUHSC_01399	2033	2033	2033
SAOUHSC_00362	10890	10890	10890
SAOUHSC_00556	26178	26178	26178
SAOUHSC_00277	1462	1392	1462
SAOUHSC_02127	899	899	899
SAOUHSC_02911	2235	2235	2235
SAOUHSC_02014	3403	3403	3403
SAOUHSC_02790	8516	8516	8516
SAOUHSC_00678	11599	11599	11599
SAOUHSC_01296	992	992	992
SAOUHSC_02614	4539	4539	4539
SAOUHSC_01830	4732	4732	4732
SAOUHSC_01133	2048	2048	2048
SAOUHSC_01366	931	931	931
SAOUHSC_01657	1877	1877	1877
SAOUHSC_01440	813	813	813
SAOUHSC_01884	167358	167358	167358
SAOUHSC_02472	2835	2835	2835
SAOUHSC_00938	18920	18920	18920
SAOUHSC_00738	116483	116483	116483
SAOUHSC_02658	512	512	512
SAOUHSC_02910	6730	6730	6730
SAOUHSC_01835	3607	3600	3607
SAOUHSC_00314	2952	2952	2952
SAOUHSC_00707	5133	5133	5133
SAOUHSC_00052	132	126	132
SAOUHSC_01997	22644	22644	22644
SAOUHSC_02851	116	116	116
SAOUHSC_02801	16628	16628	16628
SAOUHSC_01986	11709	11709	11709
SAOUHSC_00143	3697	3697	3697
SAOUHSC_00081	897	896	897
SAOUHSC_02119	27560	27560	27560
SAOUHSC_01507	87	87	87
SAOUHSC_00204	9698	9698	9698
SAOUHSC_00810	731	731	731
SAOUHSC_00940	8275	8275	8275
SAOUHSC_00265	615	615	615
SAOUHSC_02739	6576	6576	6576
SAOUHSC_02259	11321	11321	11321
SAOUHSC_02523	1796	1796	1796
SAOUHSC_00586	785	785	785
SAOUHSC_02694	4191	4191	4191
SAOUHSC_01968	14793	14793	14793
SAOUHSC_02276	3580	3580	3580
SAOUHSC_03049	17391	17391	17391
SAOUHSC_02778	12378	12378	12378
SAOUHSC_01036	11358	11358	11358
SAOUHSC_02533	374	374	374
SAOUHSC_00297	5372	5372	5372
SAOUHSC_01062	11498	11498	11498
SAOUHSC_00218	55	55	55
SAOUHSC_00899	1221	1221	1221
SAOUHSC_00082	1426	1426	1426
SAOUHSC_02863	204	204	204
SAOUHSC_00326	385	385	385
SAOUHSC_02587	9994	9994	9994
SAOUHSC_00381	539	539	539
SAOUHSC_01805	794	514	794
SAOUHSC_00359	1950	1950	1950
SAOUHSC_00880	2253	2253	2253
SAOUHSC_02949	2463	2463	2463
SAOUHSC_02695	2204	2204	2204
SAOUHSC_01279	4502	4502	4502
SAOUHSC_00410	1548	1548	1548
SAOUHSC_00555	2178	2178	2178
SAOUHSC_02553	3033	3033	3033
SAOUHSC_01343	7899	7899	7899
SAOUHSC_02247	1105	1105	1105
SAOUHSC_02926	90853	90853	90853
purH	6580	6580	6580
SAOUHSC_02861	4946	4946	4946
SAOUHSC_00043	182	182	182
SAOUHSC_00392	512	512	512
SAOUHSC_02461	1140	1140	1140
SAOUHSC_01398	1302	1302	1302
SAOUHSC_01908	30222	30222	30222
SAOUHSC_02699	13631	13626	13631
SAOUHSC_01880	194	129	194
SAOUHSC_01781	23564	23564	23564
SAOUHSC_02546	6573	6573	6573
SAOUHSC_00742	50091	49608	50091
SAOUHSC_02729	169780	169780	169780
SAOUHSC_01706	1745	1745	1745
SAOUHSC_02700	4803	4803	4803
SAOUHSC_00181	8540	8540	8540
SAOUHSC_02093	3955	3955	3955
SAOUHSC_02304	10870	10870	10870
SAOUHSC_00621	1123	1123	1123
SAOUHSC_02532	764	764	764
SAOUHSC_01607	37	37	37
SAOUHSC_02775	1215	1215	1215
SAOUHSC_00062	125	125	125
SAOUHSC_02367	4968	4968	4968
SAOUHSC_02147	14415	14415	14415
SAOUHSC_01051	7278	7278	7278
SAOUHSC_00807	1998	1998	1998
SAOUHSC_00651	9592	9592	9592
SAOUHSC_02654	8000	8000	8000
SAOUHSC_00705	1499	1499	1499
SAOUHSC_02436	11858	11858	11858
SAOUHSC_02648	4488	4488	4488
SAOUHSC_01920	2818	2818	2818
SAOUHSC_02826	1663	1663	1663
SAOUHSC_00268	15629	15629	15629
SAOUHSC_00377	336	336	336
SAOUHSC_A02794	1611	1611	1611
SAOUHSC_00106	537	537	537
SAOUHSC_02612	10855	10855	10855
SAOUHSC_01900	264	264	264
SAOUHSC_02691	2558	2558	2558
SAOUHSC_02552	1353	1353	1353
SAOUHSC_01639	37	37	37
holA	1180	1180	1180
SAOUHSC_00830	3263	3263	3263
SAOUHSC_00454	7328	7328	7328
SAOUHSC_00267	419	419	419
SAOUHSC_00835	24526	24526	24526
SAOUHSC_00508	12810	12810	12810
SAOUHSC_00607	9381	9381	9381
SAOUHSC_01319	479	479	479
SAOUHSC_01478	1313	1313	1313
SAOUHSC_00605	5483	5483	5483
SAOUHSC_00987	2336	2336	2336
SAOUHSC_01709	17395	17395	17395
SAOUHSC_01728	5829	5829	5829
SAOUHSC_00989	4178	4178	4178
SAOUHSC_00086	5188	5188	5188
SAOUHSC_02460	13357	13357	13357
SAOUHSC_00440	7	7	7
SAOUHSC_01992	9178	9178	9178
SAOUHSC_02888	463	463	463
SAOUHSC_02741	3420	3420	3420
SAOUHSC_02843	4751	4751	4751
SAOUHSC_02783	783	783	783
SAOUHSC_00083	1444	1444	1444
SAOUHSC_00840	4516	4516	4516
SAOUHSC_01313	1333	1333	1333
