Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_01917	125	125	125
SAOUHSC_03028	4465	4465	4465
SAOUHSC_00178	2808	2808	2808
SAOUHSC_00256	2226	2226	2226
SAOUHSC_02912	20438	20438	20438
SAOUHSC_00132	284847	284847	284847
SAOUHSC_00422	1682	1682	1682
SAOUHSC_00962	930	930	930
SAOUHSC_02931	447	447	447
SAOUHSC_02986	849	849	849
SAOUHSC_01671	1614	1614	1614
SAOUHSC_02761	936	936	936
SAOUHSC_01181	9293	9293	9293
SAOUHSC_02248	872	872	872
SAOUHSC_01213	5241	5241	5241
SAOUHSC_01220	240	240	240
SAOUHSC_00221	8298	8298	8298
SAOUHSC_00740	2668	2668	2668
SAOUHSC_01464	16193	16193	16193
SAOUHSC_01899	241	241	241
SAOUHSC_01691	360	360	360
SAOUHSC_00222	10241	10241	10241
SAOUHSC_01110	1297	1297	1297
SAOUHSC_01008	1232	1232	1232
SAOUHSC_02449	967	967	967
SAOUHSC_00845	151685	151685	151685
SAOUHSC_01414	3841	3841	3841
SAOUHSC_01640	50	50	50
SAOUHSC_02660	7601	7601	7601
SAOUHSC_01846	61971	61971	61971
SAOUHSC_00479	8547	8547	8547
SAOUHSC_02435	1117	1117	1117
SAOUHSC_00322	4755	4755	4755
SAOUHSC_02743	3234	3234	3234
SAOUHSC_00988	2635	2635	2635
SAOUHSC_02733	9903	9903	9903
SAOUHSC_01768	7170	7170	7170
SAOUHSC_02555	4409	4409	4409
SAOUHSC_00825	11504	11504	11504
SAOUHSC_02767	2806	2806	2806
SAOUHSC_01385	424	424	424
SAOUHSC_02960	4672	4672	4672
SAOUHSC_00276	804	580	804
SAOUHSC_02464	8664	8664	8664
SAOUHSC_00393	85	85	85
SAOUHSC_02471	913	913	913
SAOUHSC_00007	1796	1796	1796
SAOUHSC_02593	1932	1932	1932
SAOUHSC_00176	4346	4346	4346
SAOUHSC_00885	7175	7175	7175
SAOUHSC_00177	4791	4791	4791
SAOUHSC_02719	538	538	538
SAOUHSC_02645	968	968	968
SAOUHSC_02842	228	228	228
nrdI	9229	8778	9229
SAOUHSC_00151	6127	6127	6127
SAOUHSC_02568	4921	4921	4921
SAOUHSC_01399	1791	1791	1791
SAOUHSC_00362	7073	7073	7073
SAOUHSC_00556	27007	27007	27007
SAOUHSC_00277	1101	1045	1101
SAOUHSC_02127	605	605	605
SAOUHSC_02911	2041	2041	2041
SAOUHSC_02014	3288	3288	3288
SAOUHSC_02790	5634	5634	5634
SAOUHSC_00678	9110	9110	9110
SAOUHSC_01296	1065	1065	1065
SAOUHSC_02614	3294	3294	3294
SAOUHSC_01830	4153	4153	4153
SAOUHSC_01133	1956	1956	1956
SAOUHSC_01366	828	828	828
SAOUHSC_01657	1470	1470	1470
SAOUHSC_01440	643	643	643
SAOUHSC_01884	147620	147620	147620
SAOUHSC_02472	2167	2167	2167
SAOUHSC_00938	14863	14863	14863
SAOUHSC_00738	99595	99595	99595
SAOUHSC_02658	444	444	444
SAOUHSC_02910	5934	5934	5934
SAOUHSC_01835	2850	2847	2850
SAOUHSC_00314	2687	2687	2687
SAOUHSC_00707	8394	8394	8394
SAOUHSC_00052	200	192	200
SAOUHSC_01997	19212	19212	19212
SAOUHSC_02851	76	76	76
SAOUHSC_02801	14727	14727	14727
SAOUHSC_01986	9115	9115	9115
SAOUHSC_00143	3288	3288	3288
SAOUHSC_00081	566	565	566
SAOUHSC_02119	27125	27125	27125
SAOUHSC_01507	47	47	47
SAOUHSC_00204	12351	12351	12351
SAOUHSC_00810	530	530	530
SAOUHSC_00940	6196	6196	6196
SAOUHSC_00265	663	663	663
SAOUHSC_02739	5498	5498	5498
SAOUHSC_02259	10251	10251	10251
SAOUHSC_02523	1440	1440	1440
SAOUHSC_00586	651	651	651
SAOUHSC_02694	3455	3455	3455
SAOUHSC_01968	11632	11632	11632
SAOUHSC_02276	3136	3136	3136
SAOUHSC_03049	13879	13879	13879
SAOUHSC_02778	12882	12882	12882
SAOUHSC_01036	8442	8442	8442
SAOUHSC_02533	200	200	200
SAOUHSC_00297	5587	5587	5587
SAOUHSC_01062	10697	10697	10697
SAOUHSC_00218	41	41	41
SAOUHSC_00899	944	944	944
SAOUHSC_00082	895	895	895
SAOUHSC_02863	143	143	143
SAOUHSC_00326	271	271	271
SAOUHSC_02587	4765	4765	4765
SAOUHSC_00381	537	537	537
SAOUHSC_01805	429	292	429
SAOUHSC_00359	1488	1488	1488
SAOUHSC_00880	1965	1965	1965
SAOUHSC_02949	2559	2559	2559
SAOUHSC_02695	1907	1907	1907
SAOUHSC_01279	3636	3636	3636
SAOUHSC_00410	1624	1624	1624
SAOUHSC_00555	1787	1787	1787
SAOUHSC_02553	2716	2716	2716
SAOUHSC_01343	4534	4534	4534
SAOUHSC_02247	898	898	898
SAOUHSC_02926	88504	88504	88504
purH	6345	6345	6345
SAOUHSC_02861	4581	4581	4581
SAOUHSC_00043	154	154	154
SAOUHSC_00392	367	367	367
SAOUHSC_02461	1010	1010	1010
SAOUHSC_01398	1227	1227	1227
SAOUHSC_01908	25608	25608	25608
SAOUHSC_02699	9516	9514	9516
SAOUHSC_01880	109	83	109
SAOUHSC_01781	17634	17634	17634
SAOUHSC_02546	6030	6030	6030
SAOUHSC_00742	47224	46781	47224
SAOUHSC_02729	175021	175021	175021
SAOUHSC_01706	1057	1057	1057
SAOUHSC_02700	3824	3824	3824
SAOUHSC_00181	6597	6597	6597
SAOUHSC_02093	2783	2783	2783
SAOUHSC_02304	10485	10485	10485
SAOUHSC_00621	887	887	887
SAOUHSC_02532	507	507	507
SAOUHSC_01607	23	23	23
SAOUHSC_02775	977	977	977
SAOUHSC_00062	87	87	87
SAOUHSC_02367	3767	3767	3767
SAOUHSC_02147	10716	10716	10716
SAOUHSC_01051	6013	6013	6013
SAOUHSC_00807	3097	3097	3097
SAOUHSC_00651	8525	8525	8525
SAOUHSC_02654	6312	6312	6312
SAOUHSC_00705	1521	1521	1521
SAOUHSC_02436	8924	8924	8924
SAOUHSC_02648	4095	4095	4095
SAOUHSC_01920	2247	2247	2247
SAOUHSC_02826	1506	1506	1506
SAOUHSC_00268	14386	14386	14386
SAOUHSC_00377	254	254	254
SAOUHSC_A02794	1765	1765	1765
SAOUHSC_00106	425	425	425
SAOUHSC_02612	9263	9263	9263
SAOUHSC_01900	228	228	228
SAOUHSC_02691	2346	2346	2346
SAOUHSC_02552	1140	1140	1140
SAOUHSC_01639	27	27	27
holA	818	818	818
SAOUHSC_00830	2604	2604	2604
SAOUHSC_00454	6033	6033	6033
SAOUHSC_00267	381	381	381
SAOUHSC_00835	19353	19353	19353
SAOUHSC_00508	9670	9670	9670
SAOUHSC_00607	7856	7856	7856
SAOUHSC_01319	399	399	399
SAOUHSC_01478	794	794	794
SAOUHSC_00605	4479	4479	4479
SAOUHSC_00987	2333	2333	2333
SAOUHSC_01709	16229	16229	16229
SAOUHSC_01728	6404	6404	6404
SAOUHSC_00989	2991	2991	2991
SAOUHSC_00086	5043	5043	5043
SAOUHSC_02460	14669	14669	14669
SAOUHSC_00440	1	1	1
SAOUHSC_01992	8943	8943	8943
SAOUHSC_02888	380	380	380
SAOUHSC_02741	3221	3221	3221
SAOUHSC_02843	4077	4077	4077
SAOUHSC_02783	622	622	622
SAOUHSC_00083	1003	1003	1003
SAOUHSC_00840	4453	4453	4453
SAOUHSC_01313	1171	1171	1171
SAOUHSC_02003	4130	4130	4130
SAOUHSC_02831	1487	1487	1487
SAOUHSC_00864	10109	10109	10109
SAOUHSC_00428	6121	6121	6121
SAOUHSC_02992	528	528	528
SAOUHSC_02403	48029	48029	48029
SAOUHSC_00888	7611	7611	7611
SAOUHSC_01708	9776	9776	9776
SAOUHSC_02686	2912	2912	2912
SAOUHSC_01340	4108	4108	4108
SAOUHSC_00698	9474	9474	9474
SAOUHSC_01975	20183	20183	20183
SAOUHSC_02924	355	355	355
SAOUHSC_00370	6363	6363	6363
SAOUHSC_01462	28664	28664	28664
SAOUHSC_00535	88483	88483	88483
SAOUHSC_02757	3025	3025	3025
SAOUHSC_02780	1152	1152	1152
