Feature ID	Wild-type - WT1_S7 (GE) - Expression values	Wild-type - WT1_S7 (GE) - Unique gene reads	Wild-type - WT1_S7 (GE) - Total gene reads
SAOUHSC_00877	10192	10192	10192
SAOUHSC_00935	41373	41373	41373
SAOUHSC_01427	21064	21064	21064
SAOUHSC_02896	355	355	355
SAOUHSC_00910	32160	32160	32160
SAOUHSC_01850	63282	63282	63282
SAOUHSC_01775	4159	4159	4159
SAOUHSC_00147	775	775	775
SAOUHSC_01955	104	104	104
SAOUHSC_00102	347	347	347
SAOUHSC_00661	2140	2140	2140
SAOUHSC_02727	13084	13084	13084
SAOUHSC_01817	2016	2016	2016
SAOUHSC_01259	10262	10262	10262
SAOUHSC_00757	38354	38354	38354
SAOUHSC_00724	1686	1686	1686
SAOUHSC_02704	2165	2165	2165
SAOUHSC_01828	7287	7287	7287
SAOUHSC_02964	1842	1842	1842
SAOUHSC_01890	4193	4193	4193
SAOUHSC_02723	10989	10989	10989
SAOUHSC_02579	12643	12643	12643
SAOUHSC_02142	22734	22734	22734
rplN	49343	49343	49343
SAOUHSC_02400	123408	123408	123408
SAOUHSC_02410	1524	0	1524
SAOUHSC_01233	2172	2172	2172
SAOUHSC_00640	11925	11925	11925
fumC	136253	136253	136253
SAOUHSC_00641	27265	27265	27265
SAOUHSC_T00040	1054	1054	1054
SAOUHSC_00819	47379	47379	47379
SAOUHSC_T00044	741	0	741
SAOUHSC_02095	38434	38434	38434
SAOUHSC_01341	2579	2579	2579
SAOUHSC_01895	27649	27649	27649
SAOUHSC_02679	81	81	81
SAOUHSC_02387	9386	9386	9386
SAOUHSC_00319	3809	3809	3809
SAOUHSC_01128	637	637	637
rplV	39393	39393	39393
cysS	16847	16847	16847
SAOUHSC_00301	6841	6841	6841
SAOUHSC_02441	442845	442845	442845
SAOUHSC_00461	64377	64377	64377
SAOUHSC_01632	311359	311359	311359
SAOUHSC_01257	7907	7907	7907
SAOUHSC_02998	196	196	196
SAOUHSC_00681	8879	8879	8879
SAOUHSC_00908	46738	46738	46738
SAOUHSC_00730	13864	13864	13864
SAOUHSC_01876	6130	6130	6130
SAOUHSC_01450	284	284	284
SAOUHSC_02152	8506	8506	8506
SAOUHSC_00085	1894	1894	1894
SAOUHSC_02907	1223	1223	1223
SAOUHSC_02943	1201	1201	1201
trmE	7414	7414	7414
SAOUHSC_02296	9963	9963	9963
SAOUHSC_00028	7	7	7
SAOUHSC_T00042	1839	0	1839
SAOUHSC_01423	10132	10132	10132
SAOUHSC_02869	862108	862108	862108
ruvA	9259	9259	9259
rplR	37946	37946	37946
secG	12946	12946	12946
SAOUHSC_00782	11012	11012	11012
SAOUHSC_01025	42414	42414	42414
SAOUHSC_01377	2188	2188	2188
SAOUHSC_01916	11675	11675	11675
SAOUHSC_01939	111	111	111
SAOUHSC_00139	632	632	632
SAOUHSC_02121	23634	23634	23634
SAOUHSC_01868	62705	62705	62705
SAOUHSC_03027	517	517	517
SAOUHSC_00414	21312	21312	21312
SAOUHSC_02136	3040	3040	3040
SAOUHSC_01692	8096	8096	8096
gidB	4150	4150	4150
SAOUHSC_01142	97139	97139	97139
SAOUHSC_01091	10547	10547	10547
SAOUHSC_02920	6801	6801	6801
SAOUHSC_00434	941	941	941
SAOUHSC_02422	10452	10452	10452
SAOUHSC_01192	16223	16223	16223
SAOUHSC_T00041	1886	1886	1886
SAOUHSC_01060	4673	4673	4673
SAOUHSC_00632	3907	3907	3907
SAOUHSC_00483	61997	61997	61997
SAOUHSC_01089	305	305	305
SAOUHSC_01610	18286	18286	18286
SAOUHSC_00536	48254	48250	48254
SAOUHSC_01316	1598	1598	1598
SAOUHSC_01178	14656	14656	14656
SAOUHSC_01346	51635	51635	51635
SAOUHSC_01095	7615	7615	7615
SAOUHSC_00171	2540	2540	2540
SAOUHSC_01803	109325	109325	109325
SAOUHSC_00865	27468	27468	27468
SAOUHSC_00608	2089	2089	2089
SAOUHSC_00980	17140	17140	17140
SAOUHSC_00372	701	701	701
SAOUHSC_01891	483	483	483
SAOUHSC_01434	31309	31309	31309
SAOUHSC_01055	24095	24095	24095
SAOUHSC_00712	14469	14469	14469
SAOUHSC_02611	31261	31261	31261
SAOUHSC_01497	10783	10783	10783
SAOUHSC_01815	37820	37820	37820
SAOUHSC_01599	91516	91516	91516
SAOUHSC_02274	12154	12154	12154
SAOUHSC_02467	1319	1319	1319
SAOUHSC_00031	1008	1006	1008
SAOUHSC_02542	9599	9599	9599
SAOUHSC_01852	14052	14052	14052
SAOUHSC_02525	35535	35535	35535
SAOUHSC_00020	25157	25157	25157
SAOUHSC_03052	14750	14750	14750
SAOUHSC_00866	30552	30552	30552
SAOUHSC_01194	18658	18658	18658
SAOUHSC_02097	60881	60881	60881
SAOUHSC_00734	1890	1890	1890
nrdR	12334	12334	12334
rpsS	44493	44493	44493
SAOUHSC_01274	2423	2423	2423
SAOUHSC_00655	27328	27328	27328
SAOUHSC_02725	11358	11358	11358
SAOUHSC_02674	428	428	428
pgk	112631	112631	112631
SAOUHSC_01253	60426	60426	60426
SAOUHSC_00846	7347	7347	7347
rplX	37984	37984	37984
SAOUHSC_01281	2906	2906	2906
SAOUHSC_01028	82682	82682	82682
rpsC	85014	85014	85014
tgt	51867	51867	51867
SAOUHSC_00307	5048	5047	5048
SAOUHSC_00539	7498	7498	7498
SAOUHSC_02564	3714	3714	3714
SAOUHSC_02999	151	151	151
SAOUHSC_00958	24452	24452	24452
hisH	127	127	127
SAOUHSC_00785	44694	44694	44694
SAOUHSC_02355	52255	52255	52255
SAOUHSC_02369	25203	25203	25203
SAOUHSC_01352	33251	33251	33251
SAOUHSC_02297	38949	38949	38949
SAOUHSC_00721	2062	2062	2062
SAOUHSC_01727	14905	14905	14905
SAOUHSC_00879	31731	31731	31731
SAOUHSC_T00026	3934	3917	3934
SAOUHSC_00736	14571	14571	14571
rho	79782	79782	79782
SAOUHSC_00364	261917	261917	261917
rplP	63605	63605	63605
SAOUHSC_02346	88494	88494	88494
SAOUHSC_00346	23078	23078	23078
rplD	78495	78495	78495
SAOUHSC_T00045	1426	1	1426
SAOUHSC_00373	2485	2485	2485
SAOUHSC_00541	4552	4552	4552
SAOUHSC_00947	75119	75119	75119
SAOUHSC_00694	100463	100463	100463
SAOUHSC_02517	23885	23885	23885
SAOUHSC_01873	2675	2675	2675
SAOUHSC_00189	34	34	34
SAOUHSC_01079	397	397	397
SAOUHSC_00985	121129	121129	121129
SAOUHSC_02139	13041	13041	13041
cbiO_2	5348	5348	5348
SAOUHSC_T00024	1821	4	1821
SAOUHSC_02755	20265	20265	20265
SAOUHSC_02887	309035	309035	309035
SAOUHSC_01258	18398	18398	18398
SAOUHSC_02680	373	373	373
rpsN_2	21273	21273	21273
SAOUHSC_00490	4660	4660	4660
ppnK	40709	40709	40709
SAOUHSC_03009	239	239	239
SAOUHSC_00984	11358	11358	11358
SAOUHSC_01354	25831	25831	25831
SAOUHSC_00057	3562	3562	3562
SAOUHSC_02423	27879	27879	27879
SAOUHSC_00719	4515	4515	4515
SAOUHSC_01476	4046	4046	4046
sucA	577351	577351	577351
SAOUHSC_02582	138940	138940	138940
SAOUHSC_02536	20571	20571	20571
SAOUHSC_02770	321	321	321
SAOUHSC_00953	35635	35635	35635
SAOUHSC_02957	4835	4835	4835
SAOUHSC_T00015	1478	1478	1478
SAOUHSC_00795	284330	284330	284330
deoD	134069	134069	134069
SAOUHSC_02140	71476	71476	71476
SAOUHSC_02004	8625	8625	8625
SAOUHSC_00907	3593	3593	3593
SAOUHSC_00427	41212	41212	41212
SAOUHSC_00861	73686	73686	73686
SAOUHSC_00970	141	141	141
SAOUHSC_00859	8279	8279	8279
SAOUHSC_00996	6392	6392	6392
ureB	1358	1358	1358
SAOUHSC_T00029	133	0	133
SAOUHSC_02114	13039	13039	13039
SAOUHSC_02683	213	213	213
SAOUHSC_00294	10126	10126	10126
SAOUHSC_02363	52256	52256	52256
SAOUHSC_01454	18930	18930	18930
rpsE	59892	59892	59892
SAOUHSC_01499	12202	12202	12202
SAOUHSC_01330	1152	1152	1152
SAOUHSC_00575	70672	70672	70672
SAOUHSC_00600	961	960	961
nsaR	10383	10383	10383
SAOUHSC_00695	2798	2798	2798
SAOUHSC_00659	35585	35585	35585
fabZ	16305	16305	16305
SAOUHSC_00141	5526	5526	5526
frr	55399	55399	55399
rplF	49870	49870	49870
xseA	25803	25803	25803
SAOUHSC_01107	9278	9278	9278
SAOUHSC_01858	11614	11614	11614
SAOUHSC_01473	10162	10162	10162
SAOUHSC_01814	72247	72247	72247
SAOUHSC_00847	64256	64256	64256
SAOUHSC_00792	13560	13560	13560
SAOUHSC_01443	1492	1492	1492
SAOUHSC_01411	1956	1956	1956
SAOUHSC_00890	3817	3817	3817
SAOUHSC_00019	10524	10524	10524
SAOUHSC_01796	19824	19824	19824
SAOUHSC_00534	20818	20818	20818
SAOUHSC_01148	50236	50236	50236
SAOUHSC_01801	154220	154220	154220
SAOUHSC_02130	4452	4446	4452
SAOUHSC_01769	3642	3642	3642
SAOUHSC_01685	14552	14552	14552
SAOUHSC_00435	905	905	905
SAOUHSC_01448	481	481	481
rpsF	38352	38352	38352
SAOUHSC_01724	3277	3277	3277
SAOUHSC_00468	45355	45355	45355
rpmG_2	15045	15045	15045
recR	56620	56620	56620
SAOUHSC_01261	12653	12653	12653
SAOUHSC_00442	32757	32757	32757
pyrH	55158	55158	55158
SAOUHSC_01894	1072	1072	1072
SAOUHSC_01289	4	4	4
SAOUHSC_02796	8	8	8
SAOUHSC_00032	0	0	0
SAOUHSC_00212	0	0	0
SAOUHSC_00609	0	0	0
SAOUHSC_00745	0	0	0
SAOUHSC_01325	0	0	0
SAOUHSC_01494	0	0	0
SAOUHSC_01500	0	0	0
SAOUHSC_01514	0	0	0
SAOUHSC_01515	0	0	0
SAOUHSC_01516	0	0	0
SAOUHSC_01517	0	0	0
SAOUHSC_01518	0	0	0
SAOUHSC_01519	0	0	0
SAOUHSC_01520	0	0	0
SAOUHSC_01521	0	0	0
SAOUHSC_01522	0	0	0
SAOUHSC_01523	0	0	0
SAOUHSC_01524	0	0	0
SAOUHSC_01525	0	0	0
SAOUHSC_01526	0	0	0
SAOUHSC_01527	0	0	0
SAOUHSC_01528	0	0	0
SAOUHSC_01529	0	0	0
SAOUHSC_01530	0	0	0
SAOUHSC_01531	0	0	0
SAOUHSC_01532	0	0	0
SAOUHSC_01533	0	0	0
SAOUHSC_01535	0	0	0
SAOUHSC_01536	0	0	0
SAOUHSC_01537	0	0	0
SAOUHSC_01538	0	0	0
SAOUHSC_01539	0	0	0
SAOUHSC_01540	0	0	0
SAOUHSC_01541	0	0	0
SAOUHSC_01542	0	0	0
SAOUHSC_01543	0	0	0
SAOUHSC_01544	0	0	0
SAOUHSC_01545	0	0	0
SAOUHSC_01546	0	0	0
SAOUHSC_01547	0	0	0
SAOUHSC_01548	0	0	0
SAOUHSC_01549	0	0	0
SAOUHSC_01550	0	0	0
SAOUHSC_01551	0	0	0
SAOUHSC_01552	0	0	0
SAOUHSC_01553	0	0	0
SAOUHSC_01555	0	0	0
SAOUHSC_01556	0	0	0
SAOUHSC_01557	0	0	0
SAOUHSC_01558	0	0	0
SAOUHSC_01559	0	0	0
SAOUHSC_01560	0	0	0
SAOUHSC_01561	0	0	0
SAOUHSC_01562	0	0	0
SAOUHSC_01563	0	0	0
SAOUHSC_01565	0	0	0
SAOUHSC_01566	0	0	0
SAOUHSC_01567	0	0	0
SAOUHSC_01568	0	0	0
SAOUHSC_01569	0	0	0
SAOUHSC_01570	0	0	0
SAOUHSC_01571	0	0	0
SAOUHSC_01572	0	0	0
SAOUHSC_01573	0	0	0
SAOUHSC_01574	0	0	0
SAOUHSC_01575	0	0	0
SAOUHSC_01576	0	0	0
SAOUHSC_01577	0	0	0
SAOUHSC_01578	0	0	0
SAOUHSC_01579	0	0	0
SAOUHSC_01580	0	0	0
SAOUHSC_01582	0	0	0
SAOUHSC_01636	0	0	0
SAOUHSC_01851	0	0	0
SAOUHSC_02015	0	0	0
SAOUHSC_02016	0	0	0
SAOUHSC_02017	0	0	0
SAOUHSC_02018	0	0	0
SAOUHSC_02019	0	0	0
SAOUHSC_02020	0	0	0
SAOUHSC_02021	0	0	0
SAOUHSC_02022	0	0	0
SAOUHSC_02023	0	0	0
SAOUHSC_02025	0	0	0
SAOUHSC_02026	0	0	0
SAOUHSC_02027	0	0	0
SAOUHSC_02028	0	0	0
SAOUHSC_02029	0	0	0
SAOUHSC_02030	0	0	0
SAOUHSC_02031	0	0	0
SAOUHSC_02033	0	0	0
SAOUHSC_02034	0	0	0
SAOUHSC_02035	0	0	0
SAOUHSC_02036	0	0	0
SAOUHSC_02037	0	0	0
SAOUHSC_02038	0	0	0
SAOUHSC_02040	0	0	0
SAOUHSC_02041	0	0	0
SAOUHSC_02042	0	0	0
SAOUHSC_02043	0	0	0
SAOUHSC_02044	0	0	0
SAOUHSC_02046	0	0	0
SAOUHSC_02047	0	0	0
SAOUHSC_02048	0	0	0
SAOUHSC_02049	0	0	0
SAOUHSC_02050	0	0	0
SAOUHSC_02051	0	0	0
SAOUHSC_02052	0	0	0
SAOUHSC_02053	0	0	0
SAOUHSC_02054	0	0	0
SAOUHSC_02055	0	0	0
SAOUHSC_02056	0	0	0
SAOUHSC_02057	0	0	0
SAOUHSC_02058	0	0	0
SAOUHSC_02059	0	0	0
SAOUHSC_02060	0	0	0
SAOUHSC_02061	0	0	0
SAOUHSC_02062	0	0	0
SAOUHSC_02063	0	0	0
SAOUHSC_02064	0	0	0
SAOUHSC_02065	0	0	0
SAOUHSC_02066	0	0	0
SAOUHSC_02067	0	0	0
SAOUHSC_02068	0	0	0
SAOUHSC_02070	0	0	0
SAOUHSC_02071	0	0	0
SAOUHSC_02072	0	0	0
SAOUHSC_02073	0	0	0
SAOUHSC_02074	0	0	0
SAOUHSC_02075	0	0	0
SAOUHSC_02076	0	0	0
SAOUHSC_02077	0	0	0
SAOUHSC_02078	0	0	0
SAOUHSC_02079	0	0	0
SAOUHSC_02080	0	0	0
SAOUHSC_02081	0	0	0
SAOUHSC_02083	0	0	0
SAOUHSC_02084	0	0	0
SAOUHSC_02085	0	0	0
SAOUHSC_02086	0	0	0
SAOUHSC_02087	0	0	0
SAOUHSC_02088	0	0	0
SAOUHSC_02089	0	0	0
SAOUHSC_02164	0	0	0
SAOUHSC_02166	0	0	0
SAOUHSC_02167	0	0	0
SAOUHSC_02169	0	0	0
SAOUHSC_02170	0	0	0
SAOUHSC_02171	0	0	0
SAOUHSC_02173	0	0	0
SAOUHSC_02174	0	0	0
SAOUHSC_02177	0	0	0
SAOUHSC_02178	0	0	0
SAOUHSC_02179	0	0	0
SAOUHSC_02180	0	0	0
SAOUHSC_02181	0	0	0
SAOUHSC_02182	0	0	0
SAOUHSC_02183	0	0	0
SAOUHSC_02184	0	0	0
SAOUHSC_02185	0	0	0
SAOUHSC_02186	0	0	0
SAOUHSC_02187	0	0	0
SAOUHSC_02188	0	0	0
SAOUHSC_02189	0	0	0
SAOUHSC_02190	0	0	0
SAOUHSC_02191	0	0	0
SAOUHSC_02193	0	0	0
SAOUHSC_02194	0	0	0
SAOUHSC_02195	0	0	0
SAOUHSC_02196	0	0	0
SAOUHSC_02197	0	0	0
SAOUHSC_02198	0	0	0
SAOUHSC_02199	0	0	0
SAOUHSC_02200	0	0	0
SAOUHSC_02202	0	0	0
SAOUHSC_02203	0	0	0
SAOUHSC_02204	0	0	0
SAOUHSC_02205	0	0	0
SAOUHSC_02206	0	0	0
SAOUHSC_02207	0	0	0
SAOUHSC_02208	0	0	0
SAOUHSC_02209	0	0	0
SAOUHSC_02210	0	0	0
SAOUHSC_02211	0	0	0
SAOUHSC_02212	0	0	0
SAOUHSC_02213	0	0	0
SAOUHSC_02214	0	0	0
SAOUHSC_02215	0	0	0
SAOUHSC_02216	0	0	0
SAOUHSC_02217	0	0	0
SAOUHSC_02218	0	0	0
SAOUHSC_02219	0	0	0
SAOUHSC_02220	0	0	0
SAOUHSC_02221	0	0	0
SAOUHSC_02222	0	0	0
SAOUHSC_02223	0	0	0
SAOUHSC_02224	0	0	0
SAOUHSC_02225	0	0	0
SAOUHSC_02226	0	0	0
SAOUHSC_02227	0	0	0
SAOUHSC_02228	0	0	0
SAOUHSC_02229	0	0	0
SAOUHSC_02232	0	0	0
SAOUHSC_02233	0	0	0
SAOUHSC_02234	0	0	0
SAOUHSC_02235	0	0	0
SAOUHSC_02236	0	0	0
SAOUHSC_02237	0	0	0
SAOUHSC_02238	0	0	0
SAOUHSC_02239	0	0	0
SAOUHSC_02734	0	0	0
SAOUHSC_02934	0	0	0
SAOUHSC_A01514	0	0	0
SAOUHSC_01859	13814	13814	13814
SAOUHSC_02874	5362	5362	5362
rpmE2	44715	44715	44715
SAOUHSC_02013	47314	47314	47314
murB	16809	16809	16809
SAOUHSC_00014	18661	18661	18661
SAOUHSC_01145	92767	92762	92767
hemA	61217	61217	61217
hemE	13766	13766	13766
argJ	1256	1256	1256
SAOUHSC_01834	233	231	233
gltX	35325	35325	35325
SAOUHSC_00160	15591	15591	15591
SAOUHSC_01743	10811	10811	10811
adk	72270	72270	72270
SAOUHSC_02824	601	601	601
ubiE	24256	24256	24256
rpmB	170886	170886	170886
SAOUHSC_01472	21383	21383	21383
SAOUHSC_01047	437	437	437
SAOUHSC_02762	2269	2269	2269
SAOUHSC_00507	33156	33156	33156
SAOUHSC_00035	916	916	916
SAOUHSC_00054	492	447	492
SAOUHSC_01370	108	108	108
SAOUHSC_00654	7344	7344	7344
SAOUHSC_01078	27147	27147	27147
ileS	96714	96714	96714
SAOUHSC_02396	16622	16622	16622
SAOUHSC_02965	3586	3586	3586
ureC	5820	5820	5820
SAOUHSC_00058	3627	3627	3627
SAOUHSC_02592	3768	3768	3768
SAOUHSC_00172	1321	1321	1321
SAOUHSC_00882	659	659	659
SAOUHSC_02138	6312	6312	6312
SAOUHSC_00071	12288	12288	12288
SAOUHSC_01347	391940	391940	391940
SAOUHSC_01938	142	126	142
SAOUHSC_00231	3753	3753	3753
SAOUHSC_02154	10625	10625	10625
SAOUHSC_01586	48600	48600	48600
SAOUHSC_02504	20290	20290	20290
SAOUHSC_00876	6198	6198	6198
clpX	126616	126616	126616
SAOUHSC_02942	2165	2165	2165
SAOUHSC_02753	11648	11648	11648
clpP	75219	75219	75219
ndk	81808	81808	81808
secE	7568	7568	7568
SAOUHSC_02904	272	272	272
SAOUHSC_00966	523	523	523
SAOUHSC_01600	16060	16060	16060
rpsO	80806	80806	80806
glyA	145677	145677	145677
SAOUHSC_00158	25450	25450	25450
SAOUHSC_02708	1392	1392	1392
obgE	26632	26632	26632
murC	42156	42156	42156
SAOUHSC_01993	1533	0	1533
SAOUHSC_01772	22428	22428	22428
SAOUHSC_00467	14527	14527	14527
SAOUHSC_01622	7107	7107	7107
SAOUHSC_00975	2930	2930	2930
SAOUHSC_00514	9506	9506	9506
SAOUHSC_00433	4318	4318	4318
SAOUHSC_00215	59	59	59
SAOUHSC_02379	93958	70803	93958
SAOUHSC_01481	11806	11806	11806
SAOUHSC_00512	5973	5973	5973
mraW	166436	166436	166436
lysS	86385	86385	86385
SAOUHSC_T0002	714	0	714
rplO	46245	46245	46245
SAOUHSC_01477	179762	179762	179762
SAOUHSC_01866	26273	26273	26273
SAOUHSC_01149	189683	189683	189683
SAOUHSC_00473	22487	22487	22487
rpsR	24451	24451	24451
SAOUHSC_00309	22297	22297	22297
SAOUHSC_02485	94643	94643	94643
SAOUHSC_00656	18893	18893	18893
SAOUHSC_01759	14259	14259	14259
rpmD	18879	18879	18879
SAOUHSC_00230	9965	9965	9965
SAOUHSC_01915	7699	7699	7699
recF	33385	33385	33385
rplB	140835	140835	140835
SAOUHSC_01705	361	361	361
SAOUHSC_00003	10454	10454	10454
SAOUHSC_00968	131	131	131
SAOUHSC_00751	6444	6444	6444
SAOUHSC_01106	15569	15569	15569
SAOUHSC_01391	46963	46963	46963
SAOUHSC_02604	41642	41642	41642
SAOUHSC_01855	157413	157413	157413
SAOUHSC_01392	36118	36118	36118
SAOUHSC_01592	11874	11874	11874
SAOUHSC_00090	277	277	277
sdhB	155997	155997	155997
SAOUHSC_00788	29311	29311	29311
SAOUHSC_T00039	2040	0	2040
SAOUHSC_01118	3594	3453	3594
SAOUHSC_00401	2456	2456	2456
SAOUHSC_02005	2363	2363	2363
SAOUHSC_00723	3083	3083	3083
hisG	49	49	49
SAOUHSC_01861	19961	19961	19961
SAOUHSC_01416	267067	267067	267067
SAOUHSC_01100	65350	65350	65350
cbiO_1	8732	8732	8732
SAOUHSC_00211	5557	5557	5557
SAOUHSC_01673	23199	23199	23199
SAOUHSC_00786	31105	25041	31105
SAOUHSC_02285	475	475	475
ddl	46147	46147	46147
SAOUHSC_00418	36	36	36
SAOUHSC_01378	907	907	907
SAOUHSC_00930	131	131	131
SAOUHSC_00412	53058	53058	53058
hslO	12855	12855	12855
SAOUHSC_00408	8034	8034	8034
SAOUHSC_00390	133	133	133
SAOUHSC_00783	7132	7132	7132
SAOUHSC_02852	3649	3649	3649
SAOUHSC_03025	2313	2313	2313
SAOUHSC_01969	36885	36885	36885
SAOUHSC_02317	53525	53525	53525
SAOUHSC_00982	5701	5701	5701
SAOUHSC_01806	146292	146292	146292
SAOUHSC_T00038	2003	0	2003
SAOUHSC_02894	757	757	757
SAOUHSC_01223	26429	26429	26429
murQ	13845	13845	13845
SAOUHSC_00398	4891	4890	4891
SAOUHSC_01237	10233	10233	10233
SAOUHSC_02724	8140	8140	8140
SAOUHSC_02270	221	221	221
SAOUHSC_01619	5142	5142	5142
SAOUHSC_00308	4400	4399	4400
SAOUHSC_02860	199251	199251	199251
tpx	94051	94051	94051
SAOUHSC_02945	3949	3949	3949
SAOUHSC_02580	19953	19953	19953
sdhA	271989	271989	271989
SAOUHSC_01408	35206	35206	35206
SAOUHSC_00024	7734	7734	7734
SAOUHSC_02377	171629	171629	171629
SAOUHSC_02481	6680	6680	6680
SAOUHSC_02638	8558	8558	8558
SAOUHSC_02772	10189	10189	10189
SAOUHSC_00349	51625	51625	51625
SAOUHSC_T00023	1729	1405	1729
SAOUHSC_02106	17384	17384	17384
SAOUHSC_01376	4046	4046	4046
trpA	616	616	616
SAOUHSC_01913	1918	1918	1918
SAOUHSC_02895	1138	1138	1138
SAOUHSC_01867	35550	35550	35550
SAOUHSC_01263	166910	166910	166910
eutD	96705	96705	96705
SAOUHSC_01032	1155	1155	1155
SAOUHSC_02682	1066	1066	1066
SAOUHSC_00762	5913	5913	5913
SAOUHSC_01071	17578	17578	17578
greA	21895	21895	21895
SAOUHSC_01437	20136	20136	20136
SAOUHSC_01676	102347	102347	102347
SAOUHSC_02668	1355	1355	1355
SAOUHSC_T00043	1819	0	1819
SAOUHSC_02900	52998	52998	52998
SAOUHSC_01256	12946	12946	12946
rplW	29886	29886	29886
SAOUHSC_01973	39825	39825	39825
SAOUHSC_02684	774	774	774
alaS	52926	52926	52926
SAOUHSC_00459	3505	3505	3505
SAOUHSC_01401	13457	13457	13457
rpsM	48952	48952	48952
SAOUHSC_00798	202129	202129	202129
SAOUHSC_01687	15491	9279	15491
SAOUHSC_01323	20879	20879	20879
SAOUHSC_01505	11780	11780	11780
SAOUHSC_00647	41276	41276	41276
prfC	24419	24419	24419
SAOUHSC_00526	28636	28636	28636
SAOUHSC_01374	57391	57391	57391
SAOUHSC_02319	24453	24453	24453
SAOUHSC_T0004	5298	1309	5298
uvrA	47293	47293	47293
SAOUHSC_02898	1793	1793	1793
SAOUHSC_00660	17276	17276	17276
SAOUHSC_01771	45088	45088	45088
SAOUHSC_01901	52049	52049	52049
SAOUHSC_02667	38596	38596	38596
SAOUHSC_01893	1398	1398	1398
SAOUHSC_02298	100365	100321	100365
upp	53830	53830	53830
SAOUHSC_01675	86609	86609	86609
SAOUHSC_00858	11518	11518	11518
SAOUHSC_01222	44018	44018	44018
SAOUHSC_00848	101180	101180	101180
SAOUHSC_02385	14656	14655	14656
hisS	13937	13937	13937
SAOUHSC_00091	235	235	235
SAOUHSC_02469	17	17	17
SAOUHSC_01502	11422	11422	11422
SAOUHSC_02802	1567	1551	1567
SAOUHSC_00633	12637	12637	12637
SAOUHSC_01932	5101	5100	5101
SAOUHSC_02337	51106	51106	51106
SAOUHSC_00811	1782	1782	1782
SAOUHSC_02899	19119	19119	19119
SAOUHSC_00209	4123	4122	4123
hemH	12943	12943	12943
SAOUHSC_02261	46407	46407	46407
SAOUHSC_00339	619	618	619
SAOUHSC_00352	147	147	147
SAOUHSC_01447	12864	12864	12864
SAOUHSC_01813	16813	16813	16813
SAOUHSC_01486	41141	41141	41141
SAOUHSC_01351	30695	30695	30695
SAOUHSC_01811	35987	35987	35987
SAOUHSC_01284	8459	8459	8459
SAOUHSC_02764	801	801	801
SAOUHSC_00417	9443	9443	9443
SAOUHSC_00839	1970	1970	1970
SAOUHSC_01726	17136	17136	17136
SAOUHSC_T00047	810	810	810
SAOUHSC_02979	64617	64617	64617
SAOUHSC_01130	3191	3191	3191
rpsD	91255	91255	91255
SAOUHSC_00722	1409	1409	1409
SAOUHSC_01680	6285	6285	6285
SAOUHSC_00983	17475	17475	17475
SAOUHSC_00223	12745	12745	12745
SAOUHSC_01701	11299	11299	11299
SAOUHSC_00789	24455	24455	24455
SAOUHSC_T0001	717	0	717
SAOUHSC_01672	12243	12243	12243
SAOUHSC_00015	86517	86517	86517
acpP	117430	117430	117430
rplS	66906	66906	66906
SAOUHSC_00735	980	972	980
SAOUHSC_01935	234	216	234
SAOUHSC_00513	11015	11015	11015
asnC	122647	122647	122647
SAOUHSC_00981	417	417	417
SAOUHSC_00206	1111	1111	1111
rplI	28387	28387	28387
SAOUHSC_00320	2233	2233	2233
SAOUHSC_01436	10231	10231	10231
SAOUHSC_02486	43936	43936	43936
SAOUHSC_02352	106652	106652	106652
SAOUHSC_02357	6140	6140	6140
SAOUHSC_01816	24739	24739	24739
SAOUHSC_02540	5324	5324	5324
SAOUHSC_01695	15956	15956	15956
SAOUHSC_02763	812	812	812
SAOUHSC_02268	22502	22502	22502
SAOUHSC_02671	673	673	673
SAOUHSC_01098	14987	14987	14987
SAOUHSC_00469	60375	60375	60375
pyrB	7154	7154	7154
SAOUHSC_00039	9377	9365	9377
SAOUHSC_01702	11350	11350	11350
SAOUHSC_02448	8601	8601	8601
SAOUHSC_01598	7389	7389	7389
SAOUHSC_01504	3535	3535	3535
SAOUHSC_00036	1690	1690	1690
SAOUHSC_01373	43660	43660	43660
argS	16224	16224	16224
gpsA	31588	31588	31588
SAOUHSC_00491	9853	9853	9853
SAOUHSC_00034	296	296	296
SAOUHSC_00021	49495	49495	49495
tpiA	108946	108946	108946
SAOUHSC_00504	16806	16806	16806
SAOUHSC_00109	46	46	46
rplQ	30978	30978	30978
rpsP	13547	13547	13547
SAOUHSC_00413	138707	138707	138707
SAOUHSC_01438	5226	5226	5226
SAOUHSC_01321	1822	1822	1822
SAOUHSC_T00051	4143	3735	4143
SAOUHSC_00710	27688	27688	27688
pyrE	2970	2970	2970
SAOUHSC_00510	7122	7122	7122
SAOUHSC_02257	8560	8560	8560
SAOUHSC_01936	161	161	161
SAOUHSC_01664	11377	11377	11377
SAOUHSC_01909	16154	16154	16154
rpmA	43979	43979	43979
SAOUHSC_02782	162	162	162
SAOUHSC_01614	37616	37616	37616
rplC	97749	97749	97749
SAOUHSC_00462	26232	26232	26232
SAOUHSC_01415	24534	24534	24534
SAOUHSC_01035	144968	144968	144968
SAOUHSC_00474	112768	112768	112768
SAOUHSC_01626	32417	32417	32417
SAOUHSC_01723	17554	17554	17554
SAOUHSC_01878	5483	5483	5483
SAOUHSC_T00059	160	0	160
SAOUHSC_00770	15	15	15
